OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,YearBuilt,FullBath,Fireplaces,GrLivArea_OverallQual,SalePrice
7,1710,2,856,856,2003,2,0,11970,208500
6,1262,2,1262,1262,1976,2,1,7572,181500
7,1786,2,920,920,2001,2,1,12502,223500
7,1717,3,756,961,1915,1,1,12019,140000
8,2198,3,1145,1145,2000,2,1,17584,250000
5,1362,2,796,796,1993,1,0,6810,143000
8,1694,2,1686,1694,2004,2,1,13552,307000
7,2090,2,1107,1107,1973,2,2,14630,200000
7,1774,2,952,1022,1931,2,2,12418,129900
5,1077,1,991,1077,1939,1,2,5385,118000
5,1040,1,1040,1040,1965,1,0,5200,129500
9,2324,3,1175,1182,2005,3,2,20916,345000
5,912,1,912,912,1962,1,0,4560,144000
7,1494,3,1494,1494,2006,2,1,10458,279500
6,1253,1,1253,1253,1960,1,1,7518,157000
7,854,2,832,854,1929,1,0,5978,132000
6,1004,2,1004,1004,1970,1,1,6024,149000
4,1296,2,0,1296,1967,2,0,5184,90000
5,1114,2,1114,1114,2004,1,0,5570,159000
5,1339,1,1029,1339,1958,1,0,6695,139000
8,2376,3,1158,1158,2005,3,1,19008,325300
7,1108,1,637,1108,1930,1,1,7756,139400
8,1795,2,1777,1795,2002,2,1,14360,230000
5,1060,2,1040,1060,1976,1,1,5300,129900
5,1060,1,1060,1060,1968,1,1,5300,154000
8,1600,3,1566,1600,2007,2,1,12800,256300
5,900,2,900,900,1951,1,0,4500,134800
8,1704,3,1704,1704,2007,2,1,13632,306000
5,1600,1,1484,1600,1957,1,2,8000,207500
4,520,1,520,520,1927,1,0,2080,68500
4,1317,1,649,649,1920,1,0,5268,40000
5,1228,1,1228,1228,1966,1,0,6140,149350
8,1234,2,1234,1234,2007,2,0,9872,179900
5,1700,2,1398,1700,1959,1,1,8500,165500
9,1561,2,1561,1561,2005,2,1,14049,277500
8,2452,3,1117,1132,2004,3,1,19616,309000
5,1097,2,1097,1097,1994,1,0,5485,145000
5,1297,2,1297,1297,1954,1,1,6485,153000
5,1057,1,1057,1057,1953,1,0,5285,109000
4,1152,0,0,1152,1955,2,0,4608,82000
6,1324,2,1088,1324,1965,2,1,7944,160000
5,1328,1,1350,1328,1959,1,2,6640,170000
5,884,2,840,884,1983,1,0,4420,144000
5,938,1,938,938,1975,1,0,4690,130250
5,1150,1,1150,1150,1959,1,0,5750,141000
9,1752,2,1752,1752,2005,2,1,15768,319900
7,2149,2,1434,1518,2003,1,1,15043,239686
